predictor,predictor_value,suitability
wc2.1_2.5m_bio_18,1671.9791666666667,0.14590268081136468
wc2.1_2.5m_bio_18,1719.7500000000002,0.14642402851032596
wc2.1_2.5m_bio_18,1767.5208333333335,0.14694060230552083
wc2.1_2.5m_bio_18,1815.2916666666667,0.14745181866194884
wc2.1_2.5m_bio_18,1863.0625000000002,0.14796208266055036
wc2.1_2.5m_bio_18,1910.8333333333335,0.14847026494550972
wc2.1_2.5m_bio_18,1958.6041666666667,0.145413519492621
wc2.1_2.5m_bio_18,2006.3750000000002,0.14212078971513664
wc2.1_2.5m_bio_18,2054.1458333333335,0.13884546850196947
wc2.1_2.5m_bio_18,2101.9166666666665,0.135590699240313
wc2.1_2.5m_bio_18,2149.6875,0.13235557816592786
wc2.1_2.5m_bio_18,2197.4583333333335,0.12913992641321395
wc2.1_2.5m_bio_18,2245.2291666666665,0.12594693985140054
wc2.1_2.5m_bio_18,2293,0.12277610670834145
wc2.1_2.5m_bio_18,2340.7708333333335,0.12277610670834145
wc2.1_2.5m_bio_19,-60.229166666666664,0.12181594432340244
wc2.1_2.5m_bio_19,0,0.12181594432340244
wc2.1_2.5m_bio_19,60.229166666666664,0.1576129464202781
wc2.1_2.5m_bio_19,120.45833333333334,0.12990316172100874
wc2.1_2.5m_bio_19,180.6875,0.11910464056162358
wc2.1_2.5m_bio_19,240.91666666666666,0.11605705283561105
wc2.1_2.5m_bio_19,301.1458333333333,0.11637651665171585
wc2.1_2.5m_bio_19,361.37499999999994,0.11691715785608894
wc2.1_2.5m_bio_19,421.60416666666663,0.11745886646386224
wc2.1_2.5m_bio_19,481.8333333333333,0.11800163107824069
wc2.1_2.5m_bio_19,542.0625,0.11854543887844772
wc2.1_2.5m_bio_19,602.2916666666666,0.11909027834292572
wc2.1_2.5m_bio_19,662.5208333333334,0.11963613613391978
wc2.1_2.5m_bio_19,722.75,0.12018300115150694
wc2.1_2.5m_bio_19,782.9791666666666,0.12073086023237668
wc2.1_2.5m_bio_19,843.2083333333334,0.12127970031651598
wc2.1_2.5m_bio_19,903.4375,0.12182950948762526
wc2.1_2.5m_bio_19,963.6666666666666,0.1223802746760999
wc2.1_2.5m_bio_19,1023.8958333333334,0.1229319820760093
wc2.1_2.5m_bio_19,1084.1249999999998,0.12348462012044895
wc2.1_2.5m_bio_19,1144.3541666666665,0.12403817445977615
wc2.1_2.5m_bio_19,1204.5833333333333,0.12459263340618751
wc2.1_2.5m_bio_19,1264.8124999999998,0.12514798163692661
wc2.1_2.5m_bio_19,1325.0416666666665,0.1257042068540179
wc2.1_2.5m_bio_19,1385.2708333333333,0.12626129649253745
wc2.1_2.5m_bio_19,1445.4999999999998,0.12681923492551284
wc2.1_2.5m_bio_19,1505.7291666666665,0.12737800971542196
wc2.1_2.5m_bio_19,1565.9583333333333,0.12793760797140355
wc2.1_2.5m_bio_19,1626.1874999999998,0.1284980137483362
wc2.1_2.5m_bio_19,1686.4166666666665,0.12905921433175124
wc2.1_2.5m_bio_19,1746.6458333333333,0.12962119677418651
wc2.1_2.5m_bio_19,1806.8749999999998,0.13018394479634693
wc2.1_2.5m_bio_19,1867.1041666666665,0.13074744532018026
wc2.1_2.5m_bio_19,1927.3333333333333,0.1313116852115943
wc2.1_2.5m_bio_19,1987.5624999999998,0.13187664825613102
wc2.1_2.5m_bio_19,2047.7916666666663,0.13244232100890344
wc2.1_2.5m_bio_19,2108.0208333333335,0.13300868893332418
wc2.1_2.5m_bio_19,2168.25,0.13357573902807407
wc2.1_2.5m_bio_19,2228.4791666666665,0.13414345515715168
wc2.1_2.5m_bio_19,2288.7083333333335,0.1347118206734588
wc2.1_2.5m_bio_19,2348.9375,0.13528082526921367
wc2.1_2.5m_bio_19,2409.1666666666665,0.13585045230463125
wc2.1_2.5m_bio_19,2469.3958333333335,0.1364206842412994
wc2.1_2.5m_bio_19,2529.625,0.13699151101311935
wc2.1_2.5m_bio_19,2589.8541666666665,0.13756291569689263
wc2.1_2.5m_bio_19,2650.0833333333335,0.13813488061343515
wc2.1_2.5m_bio_19,2710.3125,0.13870739571230326
wc2.1_2.5m_bio_19,2770.5416666666665,0.1392804432922405
wc2.1_2.5m_bio_19,2830.7708333333335,0.13985400634304132
wc2.1_2.5m_bio_19,2891,0.14042807401797017
wc2.1_2.5m_bio_19,2951.2291666666665,0.14042807401797017
wc2.1_2.5m_bio_2,2.2015801121791205,0.07564423701326806
wc2.1_2.5m_bio_2,2.566228151321411,0.07564423701326806
wc2.1_2.5m_bio_2,2.930876190463702,0.08315504664541187
wc2.1_2.5m_bio_2,3.295524229605993,0.09121370341515588
wc2.1_2.5m_bio_2,3.6601722687482834,0.09980855287033273
wc2.1_2.5m_bio_2,4.024820307890574,0.10891406407711744
wc2.1_2.5m_bio_2,4.3894683470328655,0.11848976448102669
wc2.1_2.5m_bio_2,4.754116386175156,0.12847967631518714
wc2.1_2.5m_bio_2,5.118764425317447,0.1388127480960563
wc2.1_2.5m_bio_2,5.483412464459738,0.14940480424565813
wc2.1_2.5m_bio_2,5.848060503602028,0.16016185710924752
wc2.1_2.5m_bio_2,6.21270854274432,0.17087599297989284
wc2.1_2.5m_bio_2,6.57735658188661,0.1762871885580519
wc2.1_2.5m_bio_2,6.9420046210289,0.17722728732117393
wc2.1_2.5m_bio_2,7.306652660171192,0.17414280142386346
wc2.1_2.5m_bio_2,7.671300699313482,0.1688655655280016
wc2.1_2.5m_bio_2,8.035948738455772,0.16148274042121408
wc2.1_2.5m_bio_2,8.400596777598064,0.15424355695582706
wc2.1_2.5m_bio_2,8.765244816740354,0.1471715368967363
wc2.1_2.5m_bio_2,9.129892855882645,0.14028641339999637
wc2.1_2.5m_bio_2,9.494540895024937,0.13505665307009287
wc2.1_2.5m_bio_2,9.859188934167227,0.13126361999679928
wc2.1_2.5m_bio_2,10.223836973309519,0.12756944365839984
wc2.1_2.5m_bio_2,10.588485012451809,0.12397510753660547
wc2.1_2.5m_bio_2,10.953133051594099,0.12044655631279574
wc2.1_2.5m_bio_2,11.317781090736391,0.11231003726214876
wc2.1_2.5m_bio_2,11.682429129878681,0.10431749641496373
wc2.1_2.5m_bio_2,12.047077169020971,0.09674940388046971
wc2.1_2.5m_bio_2,12.411725208163263,0.08960719278705796
wc2.1_2.5m_bio_2,12.776373247305553,0.08288746085765976
wc2.1_2.5m_bio_2,13.141021286447844,0.07658271163182878
wc2.1_2.5m_bio_2,13.505669325590135,0.07068227451468838
wc2.1_2.5m_bio_2,13.870317364732426,0.06517314231120903
wc2.1_2.5m_bio_2,14.234965403874716,0.060040988958450114
wc2.1_2.5m_bio_2,14.599613443017008,0.05527722359465654
wc2.1_2.5m_bio_2,14.964261482159298,0.0508670068628403
wc2.1_2.5m_bio_2,15.328909521301588,0.04678987554518907
wc2.1_2.5m_bio_2,15.69355756044388,0.04301878392900646
wc2.1_2.5m_bio_2,16.05820559958617,0.03952881816934995
wc2.1_2.5m_bio_2,16.42285363872846,0.03630105437249249
wc2.1_2.5m_bio_2,16.78750167787075,0.033313164020569296
wc2.1_2.5m_bio_2,17.152149717013042,0.030548686191464346
wc2.1_2.5m_bio_2,17.51679775615533,0.02798737309963764
wc2.1_2.5m_bio_2,17.881445795297623,0.025616829515593662
wc2.1_2.5m_bio_2,18.246093834439915,0.023432308258019483
wc2.1_2.5m_bio_2,18.610741873582203,0.02141764010538616
wc2.1_2.5m_bio_2,18.975389912724495,0.019557442963429882
wc2.1_2.5m_bio_2,19.340037951866787,0.017848800111727212
wc2.1_2.5m_bio_2,19.704685991009075,0.016282549365915836
wc2.1_2.5m_bio_2,20.069334030151367,0.014848575691782244
wc2.1_2.5m_bio_2,20.43398206929366,0.014848575691782244
wc2.1_2.5m_bio_3,15.24284597237905,0.27407079949171115
wc2.1_2.5m_bio_3,16.826322555541992,0.27407079949171115
wc2.1_2.5m_bio_3,18.409799138704937,0.26601957071236876
wc2.1_2.5m_bio_3,19.99327572186788,0.25789100877086596
wc2.1_2.5m_bio_3,21.576752305030823,0.24957113735162137
wc2.1_2.5m_bio_3,23.160228888193767,0.24091779725898113
wc2.1_2.5m_bio_3,24.743705471356712,0.2317611641645814
wc2.1_2.5m_bio_3,26.327182054519653,0.22191592617897343
wc2.1_2.5m_bio_3,27.910658637682598,0.21257542401805907
wc2.1_2.5m_bio_3,29.494135220845543,0.20898792090300503
wc2.1_2.5m_bio_3,31.077611804008484,0.2052691414533967
wc2.1_2.5m_bio_3,32.66108838717143,0.20141511788751418
wc2.1_2.5m_bio_3,34.24456497033437,0.19742402469247786
wc2.1_2.5m_bio_3,35.828041553497314,0.19329646147853152
wc2.1_2.5m_bio_3,37.41151813666026,0.18903559057678357
wc2.1_2.5m_bio_3,38.994994719823204,0.18464718083974252
wc2.1_2.5m_bio_3,40.578471302986145,0.1801395355878731
wc2.1_2.5m_bio_3,42.16194788614909,0.1755233128800525
wc2.1_2.5m_bio_3,43.745424469312034,0.17081125488008184
wc2.1_2.5m_bio_3,45.328901052474976,0.16601785991917958
wc2.1_2.5m_bio_3,46.912377635637924,0.1611589504288085
wc2.1_2.5m_bio_3,48.495854218800865,0.15625133399714555
wc2.1_2.5m_bio_3,50.07933080196381,0.1513123482559662
wc2.1_2.5m_bio_3,51.662807385126754,0.14635948104444405
wc2.1_2.5m_bio_3,53.246283968289696,0.14141001129974273
wc2.1_2.5m_bio_3,54.829760551452644,0.13648069319113204
wc2.1_2.5m_bio_3,56.413237134615585,0.13158748859629688
wc2.1_2.5m_bio_3,57.996713717778526,0.1267453722846162
wc2.1_2.5m_bio_3,59.580190300941474,0.12196843845849863
wc2.1_2.5m_bio_3,61.163666884104416,0.11726932737000677
wc2.1_2.5m_bio_3,62.74714346726736,0.11265871807325926
wc2.1_2.5m_bio_3,64.3306200504303,0.10814634165451406
wc2.1_2.5m_bio_3,65.91409663359325,0.1037406702702075
wc2.1_2.5m_bio_3,67.49757321675618,0.09944870441974381
wc2.1_2.5m_bio_3,69.08104979991913,0.09527648080694974
wc2.1_2.5m_bio_3,70.66452638308208,0.09122851050745398
wc2.1_2.5m_bio_3,72.24800296624501,0.08730806040188212
wc2.1_2.5m_bio_3,73.83147954940796,0.08351997157030028
wc2.1_2.5m_bio_3,75.41495613257091,0.07986676734514407
wc2.1_2.5m_bio_3,76.99843271573384,0.07635070786972456
wc2.1_2.5m_bio_3,78.58190929889679,0.07297030608946113
wc2.1_2.5m_bio_3,80.16538588205974,0.06972575225416261
wc2.1_2.5m_bio_3,81.74886246522267,0.0694445914874405
wc2.1_2.5m_bio_3,83.33233904838562,0.06989686773572173
wc2.1_2.5m_bio_3,84.91581563154857,0.07037060494670239
wc2.1_2.5m_bio_3,86.4992922147115,0.07085827993330547
wc2.1_2.5m_bio_3,88.08276879787445,0.06771985987266943
wc2.1_2.5m_bio_3,89.6662453810374,0.062129278297128956
wc2.1_2.5m_bio_3,91.24972196420033,0.05692999949209285
wc2.1_2.5m_bio_3,92.83319854736328,0.05210830275017144
